Object ID,Organization Name,LIONS ID,Borough Name,Approved On Street,Approved From Street,Approved To Street,Review Status,apprDaysWe,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,Approved Sunday Close,apprStartD,Shape_STLe,apprEndDat,School,the Geom
153,Meatpacking District Management Association,18508,Manhattan,WEST 13th STREET,9th AVENUE,WASHINGTON STREET,approvedBoth,"mon,tue,wed,thu,fri,sat,sun",10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,2021-04-02T00:00:00,512.377640592,01/03/2022 12:00:00 AM,,"MULTILINESTRING ((-74.00586716282486 40.740277965935746, -74.0074853077618 40.740958431424694))"
154,"St Tropez Soho, LLC",18590,Manhattan,SPRING STREET,THOMPSON STREET,SULLIVAN STREET,approvedFull,"wed,thu,fri,sat,sun",,,,,17:00,23:00,17:00,23:00,16:00,00:00,11:00,00:00,11:00,23:00,2021-04-01T00:00:00,249.759021392,11/30/2021 12:00:00 AM,,"MULTILINESTRING ((-74.00262193003408 40.72489655470224, -74.00337911192008 40.72526819224288))"
155,Nom Wah Tea Parlor,18631,Manhattan,DOYERS STREET,PELL STREET,BOWERY,approvedFull,"mon,tue,wed,thu,fri,sat,sun",12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,2021-06-01T00:00:00,544.582819493,12/31/2021 12:00:00 AM,,"MULTILINESTRING ((-74.00116941754443 40.731791325775994, -74.0029460097951 40.73115273441234))"
156,Greenwich Village Chelsea Chamber of Commerce,18639,Manhattan,BLEECKER STREET,BANK STREET,6th AVENUE,approvedFull,"sat,sun",,,,,,,,,,,10:00,20:00,10:00,19:00,2021-06-05T00:00:00,237.862324908,06/27/2021 12:00:00 AM,,"MULTILINESTRING ((-74.00361485707052 40.73234031490321, -74.0039789200553 40.732931540651954))"
157,Blind Tiger,18651,Manhattan,JONES STREET,BLEECKER STREET,WEST 4 STREET,approvedFull,"mon,tue,wed,thu,fri,sat,sun",17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,11:00,23:00,11:00,23:00,2021-04-05T00:00:00,499.568445894,12/04/2021 12:00:00 AM,,"MULTILINESTRING ((-74.00166561319472 40.73233540684313, -74.00330151305201 40.731759595444984))"
158,Jeffrey's Grocery,18656,Manhattan,WAVERLY PLACE,7th AVENUE SOUTH,CHRISTOPHER STREET,approvedFull,"thu,fri,sat,sun",,,,,,,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,2021-04-08T00:00:00,240.557868458,11/29/2023 12:00:00 AM,,"MULTILINESTRING ((-74.00139168183807 40.73449934081503, -74.00157736897275 40.73514432822596))"
159,Jeffrey's Grocery,18659,Manhattan,WAVERLY PLACE,7th AVENUE SOUTH,CHRISTOPHER STREET,approvedFull,"thu,fri,sat,sun",,,,,,,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,2021-04-08T00:00:00,238.587641309,11/29/2023 12:00:00 AM,,"MULTILINESTRING ((-74.00120765573908 40.73385961289789, -74.00139168183807 40.73449934081503))"
160,SoHo Broadway Initiative,18781,Manhattan,PRINCE STREET,BROADWAY,MERCER STREET,approvedFull,sat,,,,,,,,,,,08:00,08:00,,,2021-10-09T00:00:00,264.893464528,10/30/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.99778798133174 40.72425141150799, -73.99858822641804 40.72464886478818))"
161,MacDougal Merchants Association,18792,Manhattan,MAC DOUGAL STREET,WEST 3rd STREET,WEST 8th STREET,approvedFull,"mon,tue,wed,thu,fri,sat,sun",12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,10:00,23:00,2021-04-02T00:00:00,265.326556862,12/31/2021 12:00:00 AM,,"MULTILINESTRING ((-74.0001256629437 40.73044790891074, -73.99960649875429 40.73105977688409))"
162,Judson Memorial Church,18800,Manhattan,THOMPSON STREET,WASHINGTON SQUARE SOUTH,WEST 3rd STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",8:00,20:00,8:00,20:00,8:00,20:00,8:00,20:00,8:00,20:00,8:00,20:00,8:00,20:00,2021-03-27T00:00:00,264.665258106,12/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.99860793426143 40.729701828269604, -73.99807486492554 40.73030454816848))"
163,Village Alliance,18817,Manhattan,MAC DOUGAL STREET,WEST 4th STREET,WEST 8th STREET,approvedLimited,sun,,,,,,,,,,,,,08:30,13:30,2021-04-19T00:00:00,254.764041519,12/19/2021 12:00:00 AM,,"MULTILINESTRING ((-73.99861515115396 40.73223195122159, -73.99911140348016 40.73164333877122))"
164,Bayard Rustin Educational Campus (02M440),18842,Manhattan,WEST 18th STREET,9th AVENUE,8th AVENUE,approvedFull,"mon,tue,wed,thu,fri",07:00,16:00,07:00,16:00,07:00,16:00,07:00,16:00,07:00,16:00,,,,,2021-09-01T00:00:00,899.13851797,06/30/2022 12:00:00 AM,yes,"MULTILINESTRING ((-74.00070565347265 40.74227013535963, -74.00354491784663 40.74346480362859))"
165,Mari Makan LLC,18892,Manhattan,SPRING STREET,MOTT STREET,ELIZABETH STREET,approvedFull,"mon,tue,wed,thu,fri,sat,sun",12:00,00:00,12:00,00:00,12:00,00:00,12:00,00:00,12:00,00:00,10:00,00:00,10:00,00:00,2021-04-01T00:00:00,239.146619755,12/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.9947080299265 40.721325050463086, -73.99546767714445 40.721636218869634))"
166,Peasant,18893,Manhattan,ELIZABETH STREET,SPRING STREET,PRINCE STREET,approvedFull,"mon,tue,wed,thu,fri,sat,sun",16:30,23:00,16:30,23:00,16:30,23:00,16:30,23:00,16:30,23:00,11:00,23:00,11:00,23:00,2021-04-01T00:00:00,537.414107277,10/31/2022 12:00:00 AM,,"MULTILINESTRING ((-73.9947080299265 40.721325050463086, -73.99415604387558 40.72273907698026))"
167,Village Alliance,18942,Manhattan,UNIVERSITY PLACE,WEST 4th STREET,EAST 13th STREET,approvedLimited,sun,<Null>,,,,,,,,,,<Null>,<Null>,08:30,13:30,2021-04-19T00:00:00,168.055121653,12/19/2021 12:00:00 AM,,"MULTILINESTRING ((-73.99512151791703 40.731225430022405, -73.99479142852321 40.7316123640747))"
168,Village Alliance,18965,Manhattan,UNIVERSITY PLACE,WEST 4th STREET,EAST 13th STREET,approvedLimited,sun,<Null>,,,,,,,,,,<Null>,<Null>,08:30,13:30,2021-04-19T00:00:00,245.576075259,12/19/2021 12:00:00 AM,,"MULTILINESTRING ((-73.99430018279712 40.73218238157162, -73.99381669486324 40.73274724463638))"
169,Village Alliance,18967,Manhattan,UNIVERSITY PLACE,WEST 4th STREET,EAST 13th STREET,approvedLimited,sun,<Null>,,,,,,,,,,<Null>,<Null>,08:30,13:30,2021-04-19T00:00:00,249.365243597,12/19/2021 12:00:00 AM,,"MULTILINESTRING ((-73.99381669486324 40.73274724463638, -73.99332467449068 40.73332029345506))"
170,Winston Preparatory School,18974,Manhattan,WEST 16th STREET,7th AVENUE,AVENUE OF THE AMERICAS,approvedFull,"mon,tue,wed,thu,fri",08:45,15:00,08:45,15:00,08:30,12:30,08:30,15:00,08:30,15:00,,,,,2021-09-15T00:00:00,899.063746029,06/17/2022 12:00:00 AM,yes,"MULTILINESTRING ((-73.99587698955399 40.73870246978197, -73.99871560212011 40.73989740176678))"
171,PS 42M,18998,Manhattan,HESTER STREET,ORCHARD STREET,LUDLOW STREET,approvedFull,"mon,tue,wed,thu,fri",07:45,14:45,07:45,14:45,07:45,14:45,07:45,14:45,07:45,14:45,,,,,2021-09-13T00:00:00,224.359486276,06/28/2022 12:00:00 AM,yes,"MULTILINESTRING ((-73.99056091164107 40.71581075494048, -73.99131230819387 40.716039561728486))"
172,Lower East Side Partnership,18999,Manhattan,ORCHARD STREET,GRAND STREET,DELANCEY STREET,approvedFull,"mon,tue,wed,thu,fri,sat,sun",12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,2021-04-26T00:00:00,360.746758793,10/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.99070578873568 40.71721712071134, -73.99023629206305 40.71814060008098))"
173,Lower East Side Partnership,19001,Manhattan,BROOME STREET,ALLEN STREET,LUDLOW STREET,approvedFull,"mon,tue,wed,thu,fri,sat,sun",12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,2021-04-26T00:00:00,143.869813535,10/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.99023629206305 40.71814060008098, -73.99071896643797 40.71828573918779))"
174,303 Canary LLC,19002,Manhattan,BROOME STREET,FORSYTH STREET,ELDRIDGE STREET,approvedFull,"tue,wed,thu,fri,sat,sun",,,16:30,00:00,16:30,00:00,16:30,00:00,16:30,00:00,12:30,00:00,12:30,00:00,2021-04-02T00:00:00,261.053684941,10/01/2021 12:00:00 AM,,"MULTILINESTRING ((-73.99174972132998 40.718599942578415, -73.9926235887377 40.718867039115715))"
175,Von Design Ltd,19008,Manhattan,BLEECKER STREET,MOTT STREET,BOWERY,approvedFull,"wed,thu,fri,sat,sun",,,,,17:00,23:00,17:00,23:00,17:00,23:00,11:00,23:00,11:00,23:00,2021-04-16T00:00:00,210.520477784,10/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.99304487192434 40.725468135057525, -73.99376000297222 40.725662785966634))"
176,Fourth Arts Block (aka FABnyc),19015,Manhattan,EAST 4th STREET,BOWERY,2nd AVENUE,approvedFull,thu,,,,,,,16:00,21:00,,,,,,,2021-05-06T00:00:00,674.830860057,10/14/2021 12:00:00 AM,,"MULTILINESTRING ((-73.99155496639605 40.72711085588215, -73.98943202991391 40.72620398236543))"
177,Grace Church School,19032,Manhattan,EAST 10th STREET,4th AVENUE,BROADWAY,approvedFull,"mon,tue,wed,thu,fri",07:45,16:00,07:45,16:00,07:45,04:00,07:45,16:00,07:45,16:00,,,,,2021-09-13T00:00:00,338.694751561,06/15/2022 12:00:00 AM,yes,"MULTILINESTRING ((-73.99146260188016 40.731754679935804, -73.99039298925592 40.731305043842994))"
178,Village Alliance,19040,Manhattan,UNIVERSITY PLACE,WEST 4th STREET,EAST 13th STREET,approvedLimited,sun,<Null>,,,,,,,,,,<Null>,<Null>,08:30,13:30,2021-04-19T00:00:00,268.595593084,12/19/2021 12:00:00 AM,,"MULTILINESTRING ((-73.99332467449068 40.73332029345506, -73.99279568200122 40.73393801833522))"
179,Village Alliance,19041,Manhattan,UNIVERSITY PLACE,WEST 4th STREET,EAST 13th STREET,approvedLimited,sun,<Null>,,,,,,,,,,<Null>,<Null>,08:30,13:30,2021-04-19T00:00:00,266.243415049,12/19/2021 12:00:00 AM,,"MULTILINESTRING ((-73.99279568200122 40.73393801833522, -73.99226888239615 40.7345491230461))"
180,Lower East Side Partnership,19083,Manhattan,BROOME STREET,ALLEN STREET,LUDLOW STREET,approvedFull,"mon,tue,wed,thu,fri,sat,sun",12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,2021-04-26T00:00:00,226.855262872,10/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.98947630587888 40.71790964233714, -73.99023629206305 40.71814060008098))"
181,Planning and Urban Design Manager,19092,Manhattan,RIVINGTON STREET,ALLEN STREET,LUDLOW STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",12:00,20:00,12:00,20:00,12:00,20:00,12:00,20:00,12:00,20:00,12:00,20:00,12:00,20:00,2021-04-26T00:00:00,139.06484662,10/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.98958835745883 40.720453333033895, -73.98911637865359 40.7203239392589))"
182,Rivington East Merchants Association Corp.,19099,Manhattan,RIVINGTON STREET,NORFOLK STREET,ESSEX STREET,approvedFull,"fri,sat,sun",,,,,,,,,17:00,23:00,11:00,23:00,11:00,23:00,2021-04-09T00:00:00,235.884858953,04/08/2022 12:00:00 AM,,"MULTILINESTRING ((-73.98754484053431 40.71984887900585, -73.98675425191497 40.719609362298485))"
183,Village Alliance,19126,Manhattan,ST MARKS PLACE,2nd AVENUE,3rd AVENUE,approvedFull,"fri,sat,sun",,,,,,,,,16:30,00:00,11:30,00:00,11:30,00:00,2021-04-10T00:00:00,709.31770564,04/10/2022 12:00:00 AM,,"MULTILINESTRING ((-73.98990272038992 40.72956928954123, -73.98767450303957 40.728611624675864))"
184,Flatiron 23rd Street Partnership,19174,Manhattan,BROADWAY,WEST 25th STREET,WEST 28th STREET,approvedFull,"mon,tue,wed,thu,fri,sat,sun",12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,2021-04-09T00:00:00,281.787537473,12/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.98915758788978 40.74304648678365, -73.98901399862052 40.74381217427753))"
185,St. Marks Business Coalition,19224,Manhattan,ST MARKS PLACE,1st AVENUE,AVENUE A,approvedFull,"fri,sat,sun",,,,,,,,,16:30,23:00,11:30,23:00,11:30,22:00,2021-04-03T00:00:00,697.830910481,01/03/2022 12:00:00 AM,,"MULTILINESTRING ((-73.98529671400706 40.72760935748631, -73.98309352543302 40.72668233316517))"
186,Friends Seminary,19242,Manhattan,RUTHERFORD PLACE,EAST 15th STREET,EAST 17th STREET,approvedFull,"mon,tue,wed,thu,fri",07:30,15:30,07:30,15:30,07:30,15:30,07:30,15:30,07:30,15:30,,,,,2021-09-10T00:00:00,267.029198352,08/05/2022 12:00:00 AM,yes,"MULTILINESTRING ((-73.98477519887066 40.73402884613626, -73.98524489025066 40.733388898959504))"
187,NYCDOT,19292,Manhattan,AVENUE B,EAST 6th STREET,EAST 14th STREET,approvedLimited,mon,08:00,20:00,,,,,,,,,,,,,2021-09-14T00:00:00,241.713303818,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.98163423612432 40.72450791478126, -73.98121417874607 40.72508931940708))"
188,NYCDOT,19293,Manhattan,AVENUE B,EAST 6th STREET,EAST 14th STREET,approvedLimited,mon,08:00,20:00,,,,,,,,,,,,,2021-09-14T00:00:00,253.688841,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.98121417874607 40.72508931940708, -73.98076062946329 40.725694128303914))"
189,NYCDOT,19302,Manhattan,AVENUE B,EAST 6th STREET,EAST 14th STREET,approvedLimited,mon,08:00,20:00,,,,,,,,,,,,,2021-09-14T00:00:00,250.569248544,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.97990938424101 40.726882292119626, -73.97947201317763 40.72748419807873))"
190,Flatiron 23rd Street Partnership,19509,Manhattan,BROADWAY,WEST 25th STREET,WEST 28th STREET,approvedFull,"mon,tue,wed,thu,fri,sat,sun",12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,2021-04-09T00:00:00,277.223703116,12/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.98887178424381 40.74454945965645, -73.9887319462386 40.74530290010667))"
191,Times Square Alliance,19577,Manhattan,BROADWAY,WEST 42 STREET,WEST 41 STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,20:00,8:00,20:00,8:00,20:00,08:00,20:00,08:00,20:00,2021-05-11T00:00:00,289.221841582,12/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.98664201492824 40.75505105272218, -73.98640725626633 40.75582456034643))"
192,Times Square Alliance,19685,Manhattan,BROADWAY,WEST 53 STREET,WEST 47 STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-05-11T00:00:00,262.819567055,12/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.98483907060616 40.760132120005075, -73.9845142886251 40.76080990387803))"
193,Times Square Alliance,19687,Manhattan,BROADWAY,WEST 53 STREET,WEST 47 STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-05-11T00:00:00,262.658838604,12/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.9845142886251 40.76080990387803, -73.9840526290713 40.761439601668485))"
194,Times Square Alliance,19695,Manhattan,BROADWAY,WEST 53 STREET,WEST 47 STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-05-11T00:00:00,260.62899967,12/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.98363155631218 40.76208132325978, -73.98321755757456 40.76272370165151))"
195,Columbus Avenue Business Improvement District,19859,Manhattan,COLUMBUS AVENUE,WEST 77th STREET,WEST 68th STREET,approvedFull,sun,,,,,,,,,,,,,10:00,21:00,2021-08-29T00:00:00,263.344037077,11/14/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.98021196883212 40.77549692384125, -73.9797485470209 40.77612806964526))"
196,"Parent Teacher Association of PS 199, Inc.",19860,Manhattan,WEST 70th STREET,WEST END AVENUE,AMSTERDAM AVENUE,approvedFull,"mon,tue,wed,thu,fri",08:15,15:15,08:15,15:15,08:15,15:15,08:15,15:15,08:15,15:15,,,,,2021-09-13T00:00:00,901.279752026,06/22/2022 12:00:00 AM,yes,"MULTILINESTRING ((-73.98258575030093 40.77731937774989, -73.98545099701093 40.77849220133579))"
197,Columbus Avenue Business Improvement District,19868,Manhattan,COLUMBUS AVENUE,WEST 77th STREET,WEST 68th STREET,approvedFull,sun,,,,,,,,,,,,,10:00,21:00,2021-08-29T00:00:00,257.049185853,11/14/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.9797485470209 40.77612806964526, -73.97928959260464 40.77674129883015))"
198,Columbus Avenue Business Improvement District,19869,Manhattan,COLUMBUS AVENUE,WEST 77th STREET,WEST 68th STREET,approvedFull,sun,,,,,,,,,,,,,10:00,21:00,2021-08-29T00:00:00,284.788746056,11/14/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.97928959260464 40.77674129883015, -73.97880193639479 40.7774294732833))"
199,North Brooklyn Open Streets Coalition,19976,Brooklyn,BERRY STREET,BROADWAY,NORTH 12 STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,08:00,08:00,08:00,08:00,20:00,08:00,20:00,08:00,08:00,2021-09-08T00:00:00,214.028052064,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.9614258569904 40.71640043085871, -73.96191478733712 40.71594578182586))"
200,North Brooklyn Open Streets Coalition,20002,Brooklyn,BERRY STREET,BROADWAY,NORTH 12 STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,08:00,08:00,08:00,08:00,20:00,08:00,20:00,08:00,08:00,2021-09-08T00:00:00,259.50330909,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.95960887727585 40.7180973066475, -73.96019941423533 40.7175446341242))"
201,North Brooklyn Open Streets Coalition,20020,Brooklyn,BERRY STREET,BROADWAY,NORTH 12 STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,08:00,08:00,08:00,08:00,20:00,08:00,20:00,08:00,08:00,2021-09-08T00:00:00,261.615632857,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.95901107235736 40.71865295330522, -73.95960887727585 40.7180973066475))"
202,North Brooklyn Open Streets Coalition,20111,Brooklyn,BERRY STREET,BROADWAY,NORTH 12 STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,08:00,08:00,08:00,08:00,20:00,08:00,20:00,08:00,08:00,2021-09-08T00:00:00,260.518460416,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.95663295138122 40.720862483073624, -73.95722824859014 40.72030915418884))"
203,North Brooklyn Open Streets Coalition,20128,Brooklyn,BERRY STREET,BROADWAY,NORTH 12 STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,08:00,08:00,08:00,08:00,20:00,08:00,20:00,08:00,08:00,2021-09-08T00:00:00,259.552228658,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.95604066466464 40.721414262015905, -73.95663295138122 40.720862483073624))"
204,Oliver H. Perry Public School 34,20335,Brooklyn,ECKFORD STREET,NORMAN AVENUE,MESEROLE AVENUE,approvedFull,"mon,tue,wed,thu,fri",07:30,15:00,07:30,15:00,07:30,15:00,07:30,15:00,07:30,15:00,,,,,2021-09-13T00:00:00,661.198708443,06/24/2022 12:00:00 AM,yes,"MULTILINESTRING ((-73.950032361403 40.72601574860033, -73.95098098112844 40.727680919597546))"
205,NYCDOT,20429,Brooklyn,RUSSELL STREET,NASSAU AVENUE,DRIGGS AVENUE,approvedLimited,mon,08:00,20:00,,,,,,,,,,,,,2021-09-14T00:00:00,924.836780301,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.94408565910526 40.72311368992723, -73.9445008141064 40.72563241697117))"
206,Alliance for Kips Bay,20561,Manhattan,EAST 36 STREET,1st AVENUE,2nd AVENUE,approvedFull,"sat,sun",,,,,,,,,,,09:30,16:30,09:30,16:30,2021-04-19T00:00:00,555.199142611,12/06/2021 12:00:00 AM,,"MULTILINESTRING ((-73.97433300871694 40.74582083605008, -73.97257886222253 40.74508438190092))"
207,Alliance for Kips Bay,20572,Manhattan,EAST 36 STREET,1st AVENUE,2nd AVENUE,approvedFull,"sat,sun",,,,,,,,,,,09:30,16:30,09:30,16:30,2021-04-19T00:00:00,195.302620242,12/06/2021 12:00:00 AM,,"MULTILINESTRING ((-73.97493921253727 40.74609432464514, -73.97433300871694 40.74582083605008))"
208,Columbus Avenue Business Improvement District,21088,Manhattan,COLUMBUS AVENUE,WEST 77th STREET,WEST 68th STREET,approvedFull,sun,,,,,,,,,,,,,10:00,21:00,2021-08-29T00:00:00,285.540563925,11/14/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.97880193639479 40.7774294732833, -73.97829533008877 40.778112063422824))"
209,Columbus Avenue Business Improvement District,21090,Manhattan,COLUMBUS AVENUE,WEST 77th STREET,WEST 68th STREET,approvedFull,sun,,,,,,,,,,,,,10:00,21:00,2021-08-29T00:00:00,264.097119099,11/14/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.97829533008877 40.778112063422824, -73.97783590417781 40.77874726240862))"
210,Columbus Avenue Business Improvement District,21091,Manhattan,COLUMBUS AVENUE,WEST 77th STREET,WEST 68th STREET,approvedFull,sun,,,,,,,,,,,,,10:00,21:00,2021-08-29T00:00:00,264.253424328,11/14/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.97783590417781 40.77874726240862, -73.9773713453687 40.779380793466636))"
211,Rodeph Sholom School,21097,Manhattan,WEST 78th STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,approvedFull,"mon,tue,wed,thu,fri",10:00,14:45,10:00,14:45,10:00,14:45,10:00,14:45,10:00,13:45,,,,,2021-09-20T00:00:00,895.805425255,06/17/2022 12:00:00 AM,yes,"MULTILINESTRING ((-73.97599655568146 40.78128957445087, -73.97882573374002 40.78248148037717))"
212,Columbus Amsterdam Business Improvement District,21188,Manhattan,AMSTERDAM AVENUE,WEST 96 STREET,WEST 106th STREET,approvedFull,sun,,,,,,,,,,,,,11:00,20:30,2021-04-04T00:00:00,284.536962707,10/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.97037074533897 40.79406828466379, -73.9698735173279 40.79475175249369))"
213,Columbus Amsterdam Business Improvement District,21189,Manhattan,AMSTERDAM AVENUE,WEST 96 STREET,WEST 106th STREET,approvedFull,sun,,,,,,,,,,,,,11:00,20:30,2021-04-04T00:00:00,260.445952236,10/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.9698735173279 40.79475175249369, -73.96941832272535 40.795377327113634))"
214,Marymount School of New York,21248,Manhattan,EAST 82nd STREET,5th AVENUE,MADISON AVENUE,approvedFull,"mon,tue,wed,thu,fri",08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,,,,,2021-07-05T00:00:00,507.441241721,06/24/2022 12:00:00 AM,yes,"MULTILINESTRING ((-73.96230649298067 40.77896358238795, -73.96070412283929 40.778288166505))"
215,The Spence School,21306,Manhattan,EAST 91st STREET,MADISON AVENUE,5th AVENUE,approvedFull,"mon,tue,wed,thu,fri",08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,,,,,2021-08-30T00:00:00,509.622403479,07/01/2022 12:00:00 AM,yes,"MULTILINESTRING ((-73.9581064098777 40.784729549293495, -73.95648988477025 40.78406109511042))"
216,The Nightingale Bamford School,21308,Manhattan,EAST 92nd STREET,MADISON AVENUE,5th AVENUE,approvedFull,"mon,tue,wed,thu,fri",09:00,14:30,09:00,14:30,09:00,14:30,09:00,14:30,09:00,14:30,,,,,2021-09-13T00:00:00,507.822270123,06/24/2022 12:00:00 AM,yes,"MULTILINESTRING ((-73.95763886901267 40.78536000233623, -73.95603340550416 40.78468646525419))"
217,UES Mutual Aid Network,21516,Manhattan,EAST END AVENUE,EAST 83rd STREET,EAST 89TH STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-06-01T00:00:00,262.876018047,07/01/2025 12:00:00 AM,,"MULTILINESTRING ((-73.94573116358424 40.773637613129274, -73.945269655312 40.77426809375179))"
218,Columbus Amsterdam Business Improvement District,21580,Manhattan,AMSTERDAM AVENUE,WEST 96 STREET,WEST 106th STREET,approvedFull,sun,,,,,,,,,,,,,11:00,20:30,2021-04-04T00:00:00,261.48002102,10/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96712307616556 40.79852133983715, -73.966664698259 40.79914882938617))"
219,Columbus Amsterdam Business Improvement District,21581,Manhattan,AMSTERDAM AVENUE,WEST 96 STREET,WEST 106th STREET,approvedFull,sun,,,,,,,,,,,,,11:00,20:30,2021-04-04T00:00:00,261.510735267,10/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.966664698259 40.79914882938617, -73.96620861360728 40.799777381214575))"
220,Columbus Amsterdam Business Improvement District,21582,Manhattan,AMSTERDAM AVENUE,WEST 96 STREET,WEST 106th STREET,approvedFull,sun,,,,,,,,,,,,,11:00,20:30,2021-04-04T00:00:00,281.94840432,10/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96620861360728 40.799777381214575, -73.96571346893109 40.80045361991891))"
221,Columbus Amsterdam Business Improvement District,21583,Manhattan,AMSTERDAM AVENUE,WEST 106th STREET,WEST 110th STREET,approvedFull,"sat,sun",,,,,,,,,,,11:00,20:30,11:00,20:30,2021-04-03T00:00:00,262.082479374,10/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96521799536706 40.80112770053231, -73.96476218466267 40.80175816369379))"
222,Frederick Douglass Boulevard Alliance,21676,Manhattan,FREDERICK DOUGLASS BOULEVARD,WEST 112th STREET,WEST 120th STREET,approvedFull,"fri,sat,sun",,,,,,,,,17:00,22:00,12:00,22:00,12:00,21:00,2021-06-25T00:00:00,262.247216465,10/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.95724037000117 40.801874512963295, -73.95678098811459 40.80250399676933))"
